Order ID,Order Date,CustomerName,State,City
B-26055,2018-10-03,Harivansh,Uttar Pradesh,Mathura
B-25993,2018-10-04,Madhav,Delhi,Delhi
B-25973,2018-10-05,Madan Mohan,Uttar Pradesh,Mathura
B-25923,2018-10-06,Gopal,Maharashtra,Mumbai
B-25757,2018-10-07,Vishakha,Madhya Pradesh,Indore
B-25967,2018-10-08,Sudevi,Uttar Pradesh,Prayagraj
B-25955,2018-10-09,Shiva,Maharashtra,Pune
B-26093,2018-10-10,Sarita,Maharashtra,Pune
B-25798,2018-10-11,Shishu,Andhra Pradesh,Hyderabad
B-25602,2018-10-12,Vrinda,Maharashtra,Pune
B-25858,2018-10-13,Uudhav,Maharashtra,Mumbai
B-25969,2018-10-14,Shreyshi,Gujarat,Surat
B-26099,2018-10-15,Bhishm,Maharashtra,Mumbai
B-25997,2018-10-16,Yogesh,Maharashtra,Pune
B-25881,2018-10-17,Lalita,Uttar Pradesh,Mathura
B-25761,2018-10-18,Madhav,Uttar Pradesh,Mathura
B-25887,2018-10-19,Vishakha,Uttar Pradesh,Prayagraj
B-25823,2018-10-20,Rohan,Maharashtra,Mumbai
B-25853,2018-10-21,Gaurav,Gujarat,Ahmedabad
B-25862,2018-10-22,Amol,Bihar,Patna
B-25830,2018-10-23,Aastha,Himachal Pradesh,Simla
B-25786,2018-10-24,Madan Mohan,Uttar Pradesh,Mathura
B-25686,2018-10-25,Pooja,Himachal Pradesh,Simla
B-26022,2018-10-26,Shrichand,Punjab,Chandigarh
B-26003,2018-10-27,Hitesh,Madhya Pradesh,Bhopal
B-25755,2018-10-28,Shourya,Kerala ,Thiruvananthapuram
B-25902,2018-10-29,Ishpreet,Maharashtra,Mumbai
B-25935,2018-10-30,Sudhir,Nagaland,Kohima
B-25797,2018-10-31,Sauptik,Madhya Pradesh,Indore
B-25639,2018-11-01,Lisha,Madhya Pradesh,Bhopal
B-25681,2018-11-02,Bhawna,Madhya Pradesh,Indore
B-25909,2018-11-03,Sujay,Maharashtra,Pune
B-25910,2018-11-04,Jay,Delhi,Delhi
B-25950,2018-11-05,Shruti,Madhya Pradesh,Indore
B-25613,2018-11-06,Mohan,Haryana,Chandigarh
B-25919,2018-11-07,Neha,Rajasthan,Udaipur
B-25768,2018-11-08,Shreyoshe,Karnataka,Bangalore
B-25629,2018-11-09,Hemant,Kerala ,Thiruvananthapuram
B-25729,2018-11-10,Madhulika,Madhya Pradesh,Bhopal
B-25943,2018-11-11,Shardul,Gujarat,Ahmedabad
B-25842,2018-11-12,Sheetal,Maharashtra,Pune
B-26073,2018-11-13,Pournamasi,Madhya Pradesh,Indore
B-25778,2018-11-14,Surabhi,Maharashtra,Mumbai
B-25717,2018-11-15,Manshul,Uttar Pradesh,Lucknow
B-26085,2018-11-16,Shrichand,Punjab,Chandigarh
B-26048,2018-11-17,Parth,Maharashtra,Pune
B-25793,2018-11-18,Siddharth,Madhya Pradesh,Indore
B-25656,2018-11-19,Priyanka,Maharashtra,Pune
B-25608,2018-11-20,Aarushi,Tamil Nadu,Chennai
B-25752,2018-11-21,Vaibhav,Madhya Pradesh,Indore
B-25779,2018-11-22,Savi,Maharashtra,Pune
B-25603,2018-11-23,Jahan,Madhya Pradesh,Bhopal
B-26051,2018-11-24,Parishi,West Bengal,Kolkata
B-25653,2018-11-25,Farah,Nagaland,Kohima
B-25855,2018-11-26,Abhijeet,Madhya Pradesh,Bhopal
B-25762,2018-11-27,Anudeep,Madhya Pradesh,Indore
B-25995,2018-11-28,Yohann,Delhi,Delhi
